250.	1.051	20.263	-48.33	0.0130	-0.0522	10123.
200.	4.907	17.505	-47.16	0.0045	0.0225	11597.
150.	5.720	19.040	-50.70	0.0037	0.0579	13486.
332.00	52.0	0	0	0	0	0
1000.	-4.583	15.522	14.50	7.9243	-0.0582	-223.
950.	-5.352	21.766	11.54	7.5845	-0.1167	208.
925.	-4.385	23.877	9.56	7.2834	-0.1722	430.
900.	-2.372	24.456	7.63	6.7648	-0.2278	658.
850.	0.332	23.066	4.29	5.8642	-0.3384	1127.
800.	1.077	22.326	2.26	5.3987	-0.3974	1619.
700.	-0.956	22.405	-1.11	4.0253	-0.3262	2692.
600.	-0.657	22.766	-7.76	2.7605	-0.0619	3909.
500.	2.563	22.917	-15.93	1.3775	-0.1117	5307.
400.	6.753	20.674	-28.87	0.5736	-0.1282	6948.
300.	4.063	20.019	-44.15	0.0999	-0.0341	8941.
250.	0.442	22.400	-48.51	0.0155	-0.0630	10149.
200.	4.326	19.790	-48.03	0.0056	0.0018	11617.
150.	5.152	20.428	-51.41	0.0038	0.0520	13502.
333.00	52.0	0	0	0	0	0
1000.	-4.995	16.782	14.96	8.1419	-0.0695	-196.
950.	-6.157	24.414	11.97	7.8594	-0.0879	236.
925.	-5.098	26.738	10.17	7.5042	-0.1035	459.
900.	-3.748	28.026	8.27	7.0428	-0.1386	686.
850.	-0.746	28.705	4.18	5.9052	-0.2244	1156.
800.	1.052	27.934	1.09	5.2043	-0.2763	1647.
700.	-0.987	30.237	-0.33	3.7000	-0.4907	2720.
600.	0.784	28.176	-8.22	2.8525	-0.3047	3937.
500.	3.673	23.067	-16.94	1.3942	-0.0436	5330.
400.	7.224	20.901	-28.85	0.4118	-0.0952	6967.
300.	3.379	21.831	-43.14	0.0230	-0.0577	8962.
250.	1.199	24.507	-48.69	0.0183	0.0290	10174.
200.	4.137	21.016	-48.79	0.0071	-0.0388	11640.
150.	5.343	20.766	-52.09	0.0039	0.0645	13518.
322.00	53.0	0	0	0	0	0
1000.	6.820	-11.234	6.08	3.6892	-0.0297	-37.
950.	8.095	-14.043	2.52	3.3480	0.0429	381.
925.	8.054	-14.408	0.43	3.3323	0.0637	596.
900.	7.739	-14.075	-1.58	3.2803	0.0713	816.
850.	7.456	-13.174	-5.18	2.6231	0.1076	1268.
800.	8.667	-13.615	-5.66	1.0819	0.1623	1743.
700.	10.356	-11.091	-11.55	1.2181	0.1096	2780.
600.	10.556	-7.166	-19.33	0.5776	0.1952	3943.
500.	12.302	-1.243	-26.48	0.3067	0.1494	5280.
400.	2.646	11.993	-35.63	0.1133	0.0505	6856.
300.	-9.283	22.431	-47.55	0.1065	-0.0361	8816.
250.	0.762	18.382	-50.95	0.0178	0.0238	10004.
200.	8.934	5.614	-46.15	0.0055	0.0394	11478.
150.	8.921	4.100	-48.49	0.0031	-0.0067	13383.
323.00	53.0	0	0	0	0	0
1000.	7.040	-12.779	6.74	3.8916	-0.0263	-55.
950.	8.760	-16.654	3.29	3.4568	-0.0081	364.
925.	8.795	-17.160	1.19	3.3807	0.0403	579.
900.	8.650	-17.604	-0.93	3.2062	0.1005	799.
850.	7.495	-16.475	-4.82	2.5799	0.1849	1252.
800.	7.745	-17.127	-5.22	0.4733	0.1254	1729.
700.	9.508	-13.736	-10.60	0.6711	0.0391	2768.
600.	9.431	-10.289	-18.66	0.4005	0.0002	3936.
500.	10.992	-4.391	-25.67	0.3422	0.0560	5279.
400.	-4.149	10.797	-32.65	0.4382	-0.3161	6870.
300.	-9.083	14.669	-47.66	0.1065	-0.1618	8835.
250.	-1.779	15.332	-53.39	0.0403	0.0016	10020.
200.	8.290	7.736	-46.49	0.0045	0.0411	11486.
150.	8.339	6.057	-48.50	0.0031	0.0180	13389.
324.00	53.0	0	0	0	0	0
1000.	6.766	-16.029	7.03	3.8816	-0.0318	-76.
950.	8.788	-21.797	3.54	3.4918	-0.0060	343.
925.	8.908	-22.400	1.51	3.4732	-0.0051	559.
900.	8.953	-22.263	-0.56	3.3964	0.0055	779.
850.	8.399	-19.699	-4.64	2.7402	0.0958	1233.
800.	6.345	-21.070	-5.14	0.5748	0.1523	1709.
700.	8.917	-20.623	-10.13	0.4076	-0.1244	2752.
600.	9.721	-14.763	-16.75	0.5189	0.1505	3921.
500.	8.864	-6.900	-24.05	0.4101	0.1730	5274.
400.	-8.243	7.526	-31.60	0.5038	-0.4529	6879.
300.	-9.339	10.530	-48.02	0.1017	-0.0766	8847.
250.	-0.629	10.746	-52.68	0.0591	0.0240	10033.
200.	6.400	8.870	-47.21	0.0047	0.0550	11497.
150.	7.495	8.013	-48.52	0.0032	0.0308	13396.
325.00	53.0	0	0	0	0	0
1000.	7.618	-16.112	6.96	4.4696	-0.0345	-104.
950.	10.166	-22.666	3.58	3.9408	0.0653	316.
925.	10.340	-24.209	1.31	3.8256	0.1644	532.
900.	9.695	-26.306	-0.74	3.5416	0.2210	752.
850.	7.761	-25.607	-3.89	2.2204	0.2335	1206.
800.	5.285	-24.414	-4.80	1.3497	0.1850	1683.
700.	9.045	-25.663	-9.56	0.8615	0.3458	2726.
600.	7.517	-17.057	-14.61	1.2296	-0.2720	3904.
500.	3.099	-7.694	-21.46	1.1031	-0.6449	5266.
